sample_id,attack_type,detector_type,iteration,structural_score,behavioral_score,combined_score,detector_score,detector_decision,is_detected,attack_successful,utility_preservation,perturbation_magnitude,latency_ms
test_adaptive_lvl1_8,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.707,0.0777,1.874
test_adaptive_lvl1_8,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6631,0.1143,2.584
test_adaptive_lvl1_8,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5976,0.1539,1.918
test_adaptive_lvl1_8,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6027,0.1946,1.918
test_adaptive_lvl1_9,random_perturbation,structural_only,0,1.0,0.022,0.95,1.0,REJECTED,1,0,1.0,0.0,1.751
test_adaptive_lvl1_9,random_perturbation,structural_only,1,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8594,0.038,1.851
test_adaptive_lvl1_9,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7261,0.0779,1.881
test_adaptive_lvl1_9,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6506,0.1166,1.867
test_adaptive_lvl1_9,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.6097,0.1561,2.47
test_adaptive_lvl1_9,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.5722,0.1965,1.81
test_adaptive_lvl2_0,random_perturbation,structural_only,0,0.986,0.022,0.9367,0.986,REJECTED,1,0,1.0,0.0,1.743
test_adaptive_lvl2_0,random_perturbation,structural_only,1,0.9858,0.022,0.9365,0.9858,REJECTED,1,0,0.9758,0.0616,1.861
test_adaptive_lvl2_0,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.9172,0.1231,2.062
test_adaptive_lvl2_0,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8621,0.1842,1.897
test_adaptive_lvl2_0,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7881,0.2498,1.989
test_adaptive_lvl2_0,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7325,0.3056,2.007
test_adaptive_lvl2_1,random_perturbation,structural_only,0,0.9728,0.022,0.9242,0.9728,REJECTED,1,0,1.0,0.0,1.646
test_adaptive_lvl2_1,random_perturbation,structural_only,1,0.9854,0.022,0.9361,0.9854,REJECTED,1,0,0.9753,0.0608,1.909
test_adaptive_lvl2_1,random_perturbation,structural_only,2,0.9986,0.022,0.9487,0.9986,REJECTED,1,0,0.9206,0.1209,1.791
test_adaptive_lvl2_1,random_perturbation,structural_only,3,0.9806,0.022,0.9316,0.9806,REJECTED,1,0,0.8586,0.1862,1.896
test_adaptive_lvl2_1,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8026,0.2449,1.787
test_adaptive_lvl2_1,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7521,0.3049,2.013
test_adaptive_lvl2_2,random_perturbation,structural_only,0,0.9588,0.022,0.9109,0.9588,REJECTED,1,0,1.0,0.0,1.711
test_adaptive_lvl2_2,random_perturbation,structural_only,1,0.975,0.022,0.9263,0.975,REJECTED,1,0,0.9771,0.0599,1.998
test_adaptive_lvl2_2,random_perturbation,structural_only,2,0.9858,0.022,0.9365,0.9858,REJECTED,1,0,0.9166,0.125,1.822
test_adaptive_lvl2_2,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8556,0.1865,1.91
test_adaptive_lvl2_2,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7954,0.2442,1.825
test_adaptive_lvl2_2,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7455,0.3087,1.864
test_adaptive_lvl2_3,random_perturbation,structural_only,0,0.939,0.022,0.8921,0.939,REJECTED,1,0,1.0,0.0,1.872
